date,discharge_m3_per_s
2006-11-07T00:00:00,224.401
2006-11-08T00:00:00,189.948
2006-11-09T00:00:00,191.021
2006-11-10T00:00:00,173.737
2006-11-11T00:00:00,158.992
2006-11-12T00:00:00,149.853
2006-11-13T00:00:00,144.009
2006-11-14T00:00:00,160.209
2006-11-15T00:00:00,162.639
2006-11-16T00:00:00,159.624
2006-11-17T00:00:00,146.819
2006-11-18T00:00:00,140.562
2006-11-19T00:00:00,180.213
2006-11-20T00:00:00,186.451
2006-11-21T00:00:00,197.787
2006-11-22T00:00:00,223.609
2006-11-23T00:00:00,246.969
2006-11-24T00:00:00,323.971
2006-11-25T00:00:00,395.888
2006-11-26T00:00:00,367.721
2006-11-27T00:00:00,371.88
2006-11-28T00:00:00,484.405
2006-11-29T00:00:00,469.609
2006-11-30T00:00:00,441.71
2006-12-01T00:00:00,427.413
2006-12-02T00:00:00,375.371
2006-12-03T00:00:00,365.401
2006-12-04T00:00:00,337.945
2006-12-05T00:00:00,316.047
2006-12-06T00:00:00,345.368
2006-12-07T00:00:00,366.054
2006-12-08T00:00:00,449.899
2006-12-09T00:00:00,474.975
2006-12-10T00:00:00,446.434
2006-12-11T00:00:00,402.433
2006-12-12T00:00:00,398.139
2006-12-13T00:00:00,338.053
2006-12-14T00:00:00,327.108
2006-12-15T00:00:00,317.837
2006-12-16T00:00:00,304.142
2006-12-17T00:00:00,294.21
2006-12-18T00:00:00,269.079
2006-12-19T00:00:00,241.134
2006-12-20T00:00:00,249.618
2006-12-21T00:00:00,225.88
2006-12-22T00:00:00,213.627
2006-12-23T00:00:00,211.918
2006-12-24T00:00:00,209.006
2006-12-25T00:00:00,203.376
2006-12-26T00:00:00,185.337
2006-12-27T00:00:00,172.408
2006-12-28T00:00:00,154.672
2006-12-29T00:00:00,165.551
2006-12-30T00:00:00,174.572
2006-12-31T00:00:00,177.302
2007-01-01T00:00:00,190.54
2007-01-02T00:00:00,217.551
2007-01-03T00:00:00,243.192
2007-01-04T00:00:00,284.51
2007-01-05T00:00:00,276.72
2007-01-06T00:00:00,279.272
2007-01-07T00:00:00,277.955
2007-01-08T00:00:00,308.621
2007-01-09T00:00:00,326.92
2007-01-10T00:00:00,292.144
2007-01-11T00:00:00,320.927
2007-01-12T00:00:00,332.428
2007-01-13T00:00:00,346.476
2007-01-14T00:00:00,326.855
